,coaster_name,Location,Status,Manufacturer,Model,Lift/launch system,Trains,Designer,year_introduced,latitude,longitude,track_type,opening_date_clean,speed_mph,height_ft,Inversions_clean,Gforce_clean,Length_ft,Height_restriction_in,Cost_USD,Acceleration_clean,Max_vertical_angle,Duration_seconds,Capacity_riders_per_hour,Drop_ft
0,Switchback Railway,Coney Island,Removed,LaMarcus Adna Thompson,Lift Packed,gravity,Unknown,LaMarcus Adna Thompson,1884,40.574,-73.978,Wood,1884-06-16,6.0,91.9,0,2.9,600.0,48.0,8540000.0,9.1,30.0,60.0,1600,43.0
1,Flip Flap Railway,Sea Lion Park,Removed,Lina Beecher,Unknown,Unknown,a single car. Riders are arranged 1 across in 2 rows for a total of 2 riders per train.,Lina Beecher,1895,40.578,-73.979,Wood,1895-01-01,49.7,91.9,1,12.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
3,Loop the Loop (Coney Island),Other,Removed,Edwin Prescott,Unknown,Unknown,a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Edward A. Green,1901,40.5745,-73.978,Steel,1901-01-01,49.7,91.9,1,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
4,Loop the Loop (Young's Pier),Other,Removed,Edwin Prescott,Unknown,Unknown,Unknown,Edward A. Green,1901,39.3538,-74.4342,Steel,1901-01-01,49.7,91.9,1,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
5,Cannon Coaster,Coney Island,Removed,George Francis Meyer,Unknown,Unknown,Unknown,Unknown,1902,40.575,-73.98,Wood,1902-01-01,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
6,Leap-The-Dips,Lakemont Park,Operating,Federal Construction Company,Unknown,Unknown,Unknown,Edward Joy Morris,1902,40.2864,-76.6531,Wood,1902-01-01,10.0,91.9,0,4.0,1452.0,48.0,8540000.0,9.1,25.0,60.0,1080,9.0
8,Drop the Dip,Coney Island,Removed,Arthur Jarvis,Unknown,Unknown,Unknown,"Christopher Feucht, Welcome Mosley",1907,40.5744,-73.9786,Other,1907-06-06,49.7,91.9,0,4.0,2300.0,48.0,8540000.0,9.1,65.0,90.0,1080,92.0
10,Loop the Loop (Olentangy Park),Olentangy Park,Removed,Lina Beecher,Unknown,Unknown,Unknown,Lina Beecher,1908,40.0204,-83.0143,Steel,1908-01-01,49.7,91.9,1,4.0,2300.0,48.0,8540000.0,9.1,65.0,105.0,1080,92.0
13,Racer (1910 roller coaster),Kennywood,Operating,Charlie Mach,Racing,Chain lift,4 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,John A. Miller,1910,40.3869,-79.8619,Wood,1927-01-01,40.0,91.9,0,4.0,4500.0,46.0,75.0,9.1,65.0,92.0,1400,50.0
14,Derby Racer,Revere Beach,Removed,Fred W. Pearce,Unknown,Unknown,Unknown,Unknown,1911,42.42,-70.986,Wood,1911-01-01,49.7,91.9,0,4.0,2300.0,48.0,140.0,9.1,65.0,105.0,1080,92.0
15,The Great Scenic Railway,Luna Park Melbourne,Operating,LaMarcus Thompson,Unknown,Cable lift hill,3 trains with 2 cars. Riders are arranged 2 across in 5 rows for a total of 20 riders per train.,Unknown,1912,40.2864,-76.6531,Wood,1912-12-01,37.3,52.5,0,4.0,3173.0,3.0,8540000.0,9.1,65.0,105.0,1080,92.0
16,Zippin Pippin,Other,Unknown,The Gravity Group,Wooden Coaster,Chain lift hill,Unknown,John A. Miller,1912,40.2864,-76.6531,Wood,Unknown,40.0,91.9,0,4.0,2865.0,48.0,8540000.0,9.1,64.0,118.0,1080,70.0
20,The Wild One (roller coaster),Six Flags America,Unknown,Dinn Corporation,Unknown,Unknown,2 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,John A. MillerHerbert Schmeck,1917,38.9092,-76.7725,Wood,Unknown,53.0,91.9,0,4.0,4000.0,48.0,8540000.0,9.1,65.0,112.0,1080,88.0
21,Jack Rabbit (Clementon Park),Clementon Park,Removed,Philadelphia Toboggan Coasters,Wooden,chain lift hill,Unknown,John A. Miller,1919,39.8041,-74.9844,Wood,1919-01-01,49.7,91.9,0,4.0,1380.0,48.0,8540000.0,9.1,65.0,105.0,1080,50.0
22,Jack Rabbit (Kennywood),Kennywood,Operating,Harry C. Baker,Unknown,Chain lift hill,3 trains with 3 cars. Riders are arranged 2 across in 3 rows for a total of 18 riders per train.,John A. Miller,1920,40.3867,-79.8628,Wood,1920-01-01,45.0,91.9,0,4.0,2132.0,42.0,50.0,9.1,45.0,96.0,1080,70.0
23,Jack Rabbit (Seabreeze),Seabreeze Amusement Park,Operating,Harry C. Baker,Unknown,chain,Unknown,John A. Miller,1920,43.2316,-77.5432,Wood,1920-01-01,42.0,91.9,0,4.0,2130.0,48.0,8540000.0,9.1,52.0,105.0,1080,92.0
26,Big Dipper (Blackpool Pleasure Beach),Blackpool Pleasure Beach,Operating,William Strickler,Wooden Out and back coaster,Chain,2 trains with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,John A. Miller,1923,53.7892,-3.0569,Wood,1923-08-23,40.0,91.9,0,3.7,3300.0,46.0,31.25,9.1,46.0,148.0,1080,50.0
